[11/19/2014 09:46:38]User Fanky has bought Bloodsucker Skull for (360, Gold)
[11/19/2014 09:46:45]User Fanky has bought Staff of the Cosmic Whole for (900, Gold)
[11/19/2014 09:46:54]User Fanky has bought Elemental Detonation Spell for (400, Gold)
[11/19/2014 09:46:57]User Fanky has bought Robe of the Grand Sorcerer for (850, Gold)
[11/19/2014 09:47:04]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 09:52:34]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:43]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:44]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:44]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:45]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:47]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:47]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:49]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:51]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:52]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:53]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:53]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:54]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:54]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 09:52:55]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:03:38]User Fanky has bought Ocean Trench Key for (50, Fame)
[11/19/2014 10:03:40]User Fanky has bought Snake Pit Key for (20, Fame)
[11/19/2014 10:07:10]User Fanky has bought Colossus Shield for (360, Gold)
[11/19/2014 10:07:17]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:21]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:23]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:24]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:28]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:35]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:35]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:36]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:48]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:49]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:49]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:54]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:54]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:55]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:07:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:06]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:15]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:16]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:16]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:08:21]User Fanky has bought Amulet of Resurrection for (11500, Fame)
[11/19/2014 10:13:58]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:13:58]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:13:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:02]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:06]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:09]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:14:19]User Fanky has bought Tome of Holy Guidance for (400, Gold)
[11/19/2014 10:14:25]User Fanky has bought Wand of Recompense for (550, Gold)
[11/19/2014 10:14:28]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 10:14:31]User Fanky has bought Wand of Recompense for (550, Gold)
[11/19/2014 10:14:36]User Fanky has bought Robe of the Grand Sorcerer for (850, Gold)
[11/19/2014 10:20:40]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:40]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:43]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:43]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:43]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:43]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:44]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:44]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:44]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:44]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:45]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:20:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:02]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:03]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:03]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:04]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:05]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:06]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:06]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 10:21:12]User Fanky has bought Elemental Detonation Spell for (400, Gold)
[11/19/2014 10:21:15]User Fanky has bought Robe of the Grand Sorcerer for (850, Gold)
[11/19/2014 10:21:20]User Fanky has bought Staff of the Cosmic Whole for (900, Gold)
[11/19/2014 10:21:23]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 11:01:57]User Fanky has bought Tablet of the King's Avatar for (1925, Gold)
[11/19/2014 11:21:30]User Fanky has bought Tome of Holy Guidance for (400, Gold)
[11/19/2014 11:21:38]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:38]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:40]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:40]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:41]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:42]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:47]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:47]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:50]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:52]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:55]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:55]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:21:56]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:22:02]User Fanky has bought Robe of the Grand Sorcerer for (850, Gold)
[11/19/2014 11:22:05]User Fanky has bought Wand of Recompense for (550, Gold)
[11/19/2014 11:22:08]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 11:24:57]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:24:57]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:24:58]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:24:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:24:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:06]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:11]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:12]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:13]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:13]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:14]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:25:20]User Fanky has bought Bow of Covert Havens for (600, Gold)
[11/19/2014 11:25:22]User Fanky has bought Hydra Skin Armor for (800, Gold)
[11/19/2014 11:25:26]User Fanky has bought Quiver of Elvish Mastery for (400, Gold)
[11/19/2014 11:25:33]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 11:28:08]User Fanky has bought Cloak of Ghostly Concealment for (400, Gold)
[11/19/2014 11:28:12]User Fanky has bought Hydra Skin Armor for (800, Gold)
[11/19/2014 11:28:16]User Fanky has bought Dagger of Foul Malevolence for (650, Gold)
[11/19/2014 11:28:20]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 11:28:28]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:28]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:29]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:29]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:29]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:29]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:29]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:30]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:31]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:31]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:31]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:31]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:28:32]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:37:53]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:37:59]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:00]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:01]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:02]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:02]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:03]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:03]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:04]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:07]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:08]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:09]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:09]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:13]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:13]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:14]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:14]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:15]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:15]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:15]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:15]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:16]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:16]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:16]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:16]User Fanky has bought Potion of Oryx for (5, Gold)
[11/19/2014 11:38:25]User Fanky has bought Acropolis Armor for (850, Gold)
[11/19/2014 11:38:27]User Fanky has bought Sword of Acclaim for (900, Gold)
[11/19/2014 11:38:30]User Fanky has bought Ring of Exalted Health for (360, Gold)
[11/19/2014 11:38:37]User Fanky has bought Helm of the Great General for (360, Gold)
[11/19/2014 11:46:53]User Fanky has bought Elixir of Magic 7 for (300, Fame)
[11/19/2014 11:46:54]User Fanky has bought Elixir of Magic 7 for (300, Fame)
[11/19/2014 11:47:04]User Fanky has bought Elixir of Health 7 for (300, Fame)
[11/19/2014 11:47:05]User Fanky has bought Elixir of Health 7 for (300, Fame)
[11/21/2014 23:30:03]User ArbitrZ has bought Tablet of the King's Avatar for (1925, Gold)
[11/25/2014 11:55:15]User Fanky has bought Remote Key for (0, Fame)
[11/25/2014 11:55:19]User Fanky has bought Beachzone Key for (75, Fame)
[11/25/2014 11:55:25]User Fanky has bought Sprite World Key for (20, Fame)
[11/25/2014 11:55:26]User Fanky has bought Sprite World Key for (20, Fame)
[11/25/2014 12:47:49]User Fanky has bought Tomb of the Ancients Key for (500, Fame)
[11/25/2014 12:52:50]User Fanky has bought Tomb of the Ancients Key for (500, Fame)
[11/25/2014 12:52:51]User Fanky has bought Tomb of the Ancients Key for (500, Fame)
[11/27/2014 01:23:40]User SmitedGold has bought Staff of the Cosmic Whole for (900, Gold)
[11/27/2014 01:25:15]User SmitedGold has bought Staff of the Cosmic Whole for (900, Gold)
[11/27/2014 01:25:43]User SmitedGold has bought Elemental Detonation Spell for (400, Gold)
